S.No,Party Name,Date,Due Date,Total Amount,Balance,Type,Status
2712,Business Partner 30,28/06/2024,26/09/2024,58606,41811.26,Sales Invoice,Order Overdue
2713,Business Partner 49,13/02/2024,21/02/2024,198879,27028.5,Payment,Overdue
2714,Business Partner 34,29/03/2026,30/05/2026,356218,268680.47,Debit Note,Order Overdue
2715,Business Partner 47,17/02/2025,25/04/2025,245643,236334.33,Debit Note,Partially Paid
2716,Business Partner 39,14/08/2025,04/10/2025,395071,99332.63,Credit Note,Pending
2717,Business Partner 33,28/05/2026,30/07/2026,67186,54073.89,Sales Invoice,Paid
2718,Business Partner 39,11/01/2025,18/02/2025,61574,37215.06,Credit Note,Overdue
2719,Business Partner 25,02/11/2024,19/12/2024,13517,4251.71,Sales Invoice,Paid
2720,Business Partner 14,21/03/2025,10/06/2025,394398,58043.62,Debit Note,Pending
2721,Business Partner 42,23/03/2026,30/04/2026,208807,51051.59,Purchase Order,Pending
2722,Business Partner 29,15/09/2024,16/11/2024,210316,98080.67,Credit Note,Partially Paid
2723,Business Partner 14,19/04/2025,05/05/2025,218998,210154.5,Sales Invoice,Pending
2724,Business Partner 41,13/04/2024,20/05/2024,197102,10469.93,Credit Note,Overdue
2725,Business Partner 42,12/06/2026,06/08/2026,41959,25101.4,Payment,Order Overdue
2726,Business Partner 36,03/05/2025,08/05/2025,490673,481525.61,Credit Note,Paid
2727,Business Partner 23,05/12/2024,29/12/2024,163708,150936.37,Sales Invoice,Paid
2728,Business Partner 07,29/05/2024,08/08/2024,142352,8525.03,Debit Note,Pending
2729,Business Partner 41,17/06/2025,03/08/2025,13656,6122.79,Payment,Order Overdue
2730,Business Partner 30,21/12/2024,10/03/2025,172203,49065.31,Purchase Order,Order Overdue
2731,Business Partner 38,06/05/2024,01/07/2024,398668,194357.36,Debit Note,Paid
2732,Business Partner 43,09/03/2026,18/05/2026,383030,286865.46,Debit Note,Paid
2733,Business Partner 10,24/04/2026,11/06/2026,174094,115009.33,Credit Note,Partially Paid
2734,Business Partner 10,25/05/2024,19/06/2024,49858,30756.12,Payment,Overdue
2735,Business Partner 15,12/02/2024,17/02/2024,159812,1936.08,Sales Invoice,Pending
2736,Business Partner 27,05/08/2025,29/08/2025,219936,175832.6,Sales Invoice,Overdue
2737,Business Partner 36,04/08/2025,05/09/2025,481285,101366.31,Purchase Order,Pending
2738,Business Partner 03,28/09/2024,28/11/2024,413621,27335.83,Credit Note,Pending
2739,Business Partner 44,20/05/2025,03/06/2025,42927,28736.07,Payment,Order Overdue
2740,Business Partner 47,16/01/2025,17/03/2025,136310,78656.79,Debit Note,Partially Paid
2741,Business Partner 41,11/11/2025,22/12/2025,277147,43123.61,Debit Note,Order Overdue
2742,Business Partner 44,12/10/2024,27/12/2024,409051,366751.09,Sales Invoice,Paid
2743,Business Partner 28,09/05/2025,12/06/2025,173047,162653.81,Payment,Overdue
2744,Business Partner 47,18/02/2025,24/02/2025,311217,93471.69,Payment,Paid
2745,Business Partner 10,22/07/2025,19/08/2025,443755,347671.59,Sales Invoice,Overdue
2746,Business Partner 10,10/04/2024,08/07/2024,285273,144303.54,Credit Note,Overdue
2747,Business Partner 27,03/08/2025,14/09/2025,157806,12802.67,Sales Invoice,Order Overdue
2748,Business Partner 31,09/11/2025,17/11/2025,407305,127876.26,Purchase Order,Overdue
2749,Business Partner 26,14/04/2026,08/06/2026,81764,33868.52,Purchase Order,Partially Paid
2750,Business Partner 24,01/05/2024,09/06/2024,124565,60603.36,Credit Note,Overdue
2751,Business Partner 38,07/08/2024,27/09/2024,226499,192399.59,Payment,Pending
2752,Business Partner 40,03/04/2026,24/04/2026,177219,28211.85,Payment,Order Overdue
2753,Business Partner 25,23/05/2026,02/06/2026,53774,4414.57,Purchase Order,Pending
2754,Business Partner 35,14/03/2025,16/05/2025,471066,43486.48,Sales Invoice,Paid
2755,Business Partner 01,27/04/2025,19/05/2025,18136,2420.85,Payment,Partially Paid
2756,Business Partner 43,08/08/2025,19/08/2025,22196,3667.26,Payment,Partially Paid
2757,Business Partner 07,09/02/2024,23/04/2024,44172,43650.09,Debit Note,Paid
2758,Business Partner 13,19/03/2026,09/04/2026,471315,184220.14,Credit Note,Paid
2759,Business Partner 18,30/08/2025,06/10/2025,323665,270859.0,Purchase Order,Order Overdue
2760,Business Partner 19,21/05/2024,29/05/2024,243397,147539.41,Payment,Pending
2761,Business Partner 42,05/03/2026,02/06/2026,270951,26043.86,Debit Note,Pending
2762,Business Partner 45,17/10/2024,21/10/2024,207251,176610.27,Sales Invoice,Overdue
2763,Business Partner 29,02/01/2025,08/03/2025,161641,47466.41,Credit Note,Overdue
2764,Business Partner 16,24/03/2026,02/05/2026,350309,114414.3,Sales Invoice,Overdue
2765,Business Partner 10,21/12/2025,09/01/2026,20292,1612.26,Debit Note,Paid
2766,Business Partner 10,20/04/2024,16/06/2024,67117,10022.37,Purchase Order,Partially Paid
2767,Business Partner 50,06/12/2024,04/03/2025,168746,97749.55,Credit Note,Overdue
2768,Business Partner 27,05/05/2024,26/07/2024,351365,331189.18,Debit Note,Order Overdue
2769,Business Partner 20,27/12/2025,22/01/2026,470546,222675.67,Purchase Order,Partially Paid
2770,Business Partner 11,04/02/2025,28/02/2025,181924,12017.05,Purchase Order,Partially Paid
2771,Business Partner 25,10/07/2024,11/09/2024,244009,160638.31,Credit Note,Partially Paid
2772,Business Partner 29,16/05/2024,26/06/2024,391742,378695.86,Credit Note,Partially Paid
2773,Business Partner 49,03/08/2025,31/10/2025,97449,724.89,Sales Invoice,Partially Paid
2774,Business Partner 27,05/04/2024,06/06/2024,460025,454674.38,Sales Invoice,Paid
2775,Business Partner 09,02/09/2024,06/11/2024,317628,157339.46,Payment,Pending
2776,Business Partner 47,03/07/2024,25/08/2024,21158,16309.85,Payment,Partially Paid
2777,Business Partner 40,16/01/2025,28/02/2025,2435,254.69,Debit Note,Pending
2778,Business Partner 14,31/05/2024,12/07/2024,357702,235606.02,Debit Note,Partially Paid
2779,Business Partner 34,04/02/2025,12/04/2025,310585,190222.07,Debit Note,Pending
2780,Business Partner 28,27/02/2026,04/03/2026,239526,230937.2,Debit Note,Order Overdue
2781,Business Partner 19,05/07/2025,01/09/2025,24337,6923.53,Purchase Order,Overdue
2782,Business Partner 38,04/10/2025,12/10/2025,249783,207208.18,Credit Note,Overdue
2783,Business Partner 39,08/08/2025,06/09/2025,484964,152850.73,Debit Note,Pending
2784,Business Partner 29,28/09/2024,05/11/2024,468409,305428.29,Purchase Order,Pending
2785,Business Partner 43,16/08/2025,17/09/2025,207995,55194.78,Debit Note,Pending
2786,Business Partner 03,15/08/2024,11/10/2024,126294,50136.22,Credit Note,Paid
2787,Business Partner 05,01/04/2026,06/05/2026,281629,229365.61,Debit Note,Overdue
2788,Business Partner 02,28/05/2025,17/08/2025,414135,126809.84,Debit Note,Paid
2789,Business Partner 32,17/08/2025,13/09/2025,281016,185832.67,Payment,Paid
2790,Business Partner 16,02/02/2025,14/04/2025,381486,125351.49,Debit Note,Pending
2791,Business Partner 01,02/12/2025,25/01/2026,42773,14062.69,Sales Invoice,Overdue
2792,Business Partner 02,11/04/2024,27/04/2024,489155,366577.77,Payment,Pending
2793,Business Partner 43,26/10/2024,19/01/2025,135790,56431.02,Credit Note,Pending
2794,Business Partner 47,16/06/2024,01/08/2024,52172,39916.42,Payment,Partially Paid
2795,Business Partner 35,09/12/2025,17/02/2026,336031,23048.29,Sales Invoice,Paid
2796,Business Partner 01,02/09/2024,10/09/2024,409244,315256.79,Payment,Pending
2797,Business Partner 08,22/02/2026,20/04/2026,177962,21611.54,Debit Note,Overdue
2798,Business Partner 33,05/05/2024,05/07/2024,351223,215779.47,Purchase Order,Partially Paid
2799,Business Partner 06,27/12/2024,18/01/2025,204361,164837.97,Debit Note,Partially Paid
2800,Business Partner 47,19/01/2024,07/04/2024,422724,409797.99,Purchase Order,Paid
2801,Business Partner 11,29/05/2024,11/07/2024,85064,44410.78,Debit Note,Pending
2802,Business Partner 31,14/02/2026,05/05/2026,185225,5517.69,Credit Note,Overdue
2803,Business Partner 07,06/04/2026,10/06/2026,407775,331035.59,Sales Invoice,Pending
2804,Business Partner 13,27/09/2025,17/12/2025,254452,196809.3,Purchase Order,Pending
2805,Business Partner 43,10/03/2026,12/05/2026,293268,226062.42,Credit Note,Partially Paid
2806,Business Partner 42,12/01/2025,06/02/2025,472843,19842.68,Credit Note,Pending
2807,Business Partner 01,07/08/2025,21/09/2025,9976,9852.92,Payment,Partially Paid
2808,Business Partner 27,06/02/2026,06/02/2026,166239,143299.16,Purchase Order,Pending
2809,Business Partner 07,31/08/2025,05/11/2025,295341,226268.17,Debit Note,Pending
2810,Business Partner 31,21/05/2025,30/07/2025,290199,210656.52,Payment,Paid
2811,Business Partner 40,10/04/2026,14/04/2026,413167,345088.11,Payment,Pending
2812,Business Partner 20,03/07/2025,26/08/2025,154853,6029.79,Purchase Order,Paid
2813,Business Partner 20,11/11/2025,28/11/2025,365855,94493.54,Credit Note,Pending
2814,Business Partner 18,14/12/2024,04/02/2025,40005,39010.06,Payment,Paid
2815,Business Partner 32,11/11/2024,19/12/2024,214317,4871.9,Payment,Partially Paid
2816,Business Partner 12,29/12/2025,09/01/2026,456870,62785.24,Debit Note,Order Overdue
2817,Business Partner 39,22/05/2026,03/06/2026,191071,21662.52,Payment,Partially Paid
2818,Business Partner 21,06/05/2024,29/05/2024,303205,64373.6,Purchase Order,Pending
2819,Business Partner 04,10/10/2024,18/11/2024,442171,336330.48,Debit Note,Paid
2820,Business Partner 46,16/07/2025,27/09/2025,457288,315749.23,Payment,Order Overdue
2821,Business Partner 43,31/10/2024,12/11/2024,470408,189880.09,Purchase Order,Partially Paid
2822,Business Partner 27,05/04/2024,28/06/2024,175727,47279.03,Purchase Order,Pending
2823,Business Partner 05,06/04/2024,20/06/2024,3102,331.38,Credit Note,Paid
2824,Business Partner 31,08/04/2026,24/05/2026,213854,115901.26,Payment,Pending
2825,Business Partner 38,28/07/2025,28/08/2025,43996,14697.43,Sales Invoice,Order Overdue
2826,Business Partner 45,06/06/2026,19/06/2026,331741,269456.04,Credit Note,Pending
2827,Business Partner 47,26/12/2025,11/01/2026,89798,66258.5,Debit Note,Pending
2828,Business Partner 27,06/01/2024,02/04/2024,275189,240810.39,Debit Note,Pending
2829,Business Partner 32,14/07/2025,13/08/2025,32127,13805.71,Debit Note,Overdue
2830,Business Partner 13,24/04/2026,30/06/2026,154462,53176.3,Credit Note,Order Overdue
2831,Business Partner 27,15/08/2025,20/09/2025,142222,35417.64,Purchase Order,Overdue
2832,Business Partner 17,25/10/2025,10/01/2026,261926,380.48,Purchase Order,Overdue
2833,Business Partner 38,14/07/2024,15/08/2024,363440,46589.75,Sales Invoice,Order Overdue
2834,Business Partner 08,18/11/2025,19/12/2025,70441,50088.35,Sales Invoice,Pending
2835,Business Partner 48,17/02/2024,26/02/2024,359648,141959.82,Sales Invoice,Partially Paid
2836,Business Partner 08,11/08/2025,11/08/2025,342758,72049.43,Purchase Order,Paid
2837,Business Partner 27,19/04/2024,01/06/2024,109178,48810.7,Sales Invoice,Paid
2838,Business Partner 24,28/11/2024,19/01/2025,199560,131613.86,Payment,Overdue
2839,Business Partner 43,25/07/2024,14/10/2024,77501,16025.77,Payment,Pending
2840,Business Partner 43,28/05/2026,20/08/2026,128280,62846.08,Payment,Overdue
2841,Business Partner 04,15/09/2024,15/09/2024,228170,105775.62,Purchase Order,Paid
2842,Business Partner 48,14/04/2025,20/06/2025,152557,31097.2,Purchase Order,Partially Paid
2843,Business Partner 10,17/10/2024,21/11/2024,93830,39985.87,Purchase Order,Overdue
2844,Business Partner 49,26/06/2025,04/07/2025,308486,140185.0,Payment,Pending
2845,Business Partner 29,24/07/2024,20/10/2024,453905,125103.29,Credit Note,Overdue
2846,Business Partner 18,13/06/2024,13/08/2024,116639,51102.96,Sales Invoice,Paid
2847,Business Partner 50,28/08/2024,18/11/2024,255752,98357.53,Debit Note,Order Overdue
2848,Business Partner 42,28/05/2024,11/06/2024,141339,101939.72,Debit Note,Partially Paid
2849,Business Partner 45,11/04/2024,15/05/2024,452937,298165.63,Payment,Overdue
2850,Business Partner 02,05/03/2024,16/05/2024,464894,49799.05,Payment,Partially Paid
2851,Business Partner 16,14/02/2026,10/05/2026,489306,272033.7,Debit Note,Order Overdue
2852,Business Partner 34,06/07/2024,24/09/2024,261590,255691.6,Purchase Order,Pending
2853,Business Partner 02,01/12/2024,27/02/2025,404537,224061.87,Debit Note,Partially Paid
2854,Business Partner 01,07/05/2025,31/05/2025,99236,10763.76,Payment,Overdue
2855,Business Partner 17,13/12/2025,16/01/2026,308333,61502.17,Credit Note,Order Overdue
2856,Business Partner 37,31/07/2025,14/09/2025,51378,19519.61,Debit Note,Pending
2857,Business Partner 16,28/11/2024,03/12/2024,450732,151512.65,Credit Note,Pending
2858,Business Partner 35,07/12/2024,08/02/2025,120316,51834.92,Debit Note,Paid
2859,Business Partner 45,19/03/2024,01/04/2024,297306,266363.97,Sales Invoice,Overdue
2860,Business Partner 03,28/07/2024,25/09/2024,217195,116195.14,Purchase Order,Paid
2861,Business Partner 44,15/07/2025,09/09/2025,377664,51257.03,Sales Invoice,Pending
2862,Business Partner 24,09/04/2024,13/04/2024,135457,1584.55,Debit Note,Overdue
2863,Business Partner 08,14/10/2024,04/01/2025,309609,275490.57,Sales Invoice,Paid
2864,Business Partner 22,30/08/2024,16/11/2024,63274,5916.76,Payment,Order Overdue
2865,Business Partner 35,03/02/2026,24/04/2026,492924,375071.16,Purchase Order,Overdue
2866,Business Partner 45,10/10/2024,18/12/2024,88575,58220.08,Purchase Order,Overdue
2867,Business Partner 14,25/03/2026,16/05/2026,466288,154222.01,Purchase Order,Order Overdue
2868,Business Partner 38,22/08/2024,03/11/2024,146579,13.62,Payment,Partially Paid
2869,Business Partner 49,08/04/2025,18/06/2025,365872,60110.7,Purchase Order,Order Overdue
2870,Business Partner 02,14/11/2025,19/12/2025,101948,17542.01,Sales Invoice,Pending
2871,Business Partner 48,16/02/2024,09/03/2024,103684,85775.44,Sales Invoice,Pending
2872,Business Partner 19,16/04/2025,23/04/2025,347901,156370.02,Debit Note,Pending
2873,Business Partner 03,30/04/2024,26/05/2024,193226,121177.93,Payment,Overdue
2874,Business Partner 10,05/12/2025,13/12/2025,438056,394757.01,Credit Note,Overdue
2875,Business Partner 01,24/06/2024,10/08/2024,19417,10349.84,Credit Note,Paid
2876,Business Partner 06,21/02/2026,13/03/2026,112036,8202.49,Credit Note,Paid
2877,Business Partner 28,22/08/2024,19/11/2024,427036,70968.76,Debit Note,Order Overdue
2878,Business Partner 44,27/06/2025,10/09/2025,472321,454321.37,Debit Note,Partially Paid
2879,Business Partner 29,10/06/2024,25/08/2024,280365,185185.74,Sales Invoice,Overdue
2880,Business Partner 28,25/06/2024,11/09/2024,439666,349409.84,Payment,Partially Paid
2881,Business Partner 17,12/09/2025,09/10/2025,486602,356880.91,Purchase Order,Pending
2882,Business Partner 26,29/10/2024,16/12/2024,406042,217414.27,Purchase Order,Order Overdue
2883,Business Partner 08,26/03/2026,22/06/2026,67468,60777.26,Sales Invoice,Order Overdue
2884,Business Partner 08,27/07/2025,26/09/2025,207887,189038.51,Debit Note,Pending
2885,Business Partner 04,14/06/2025,07/07/2025,283604,248380.12,Sales Invoice,Pending
2886,Business Partner 04,04/06/2025,20/08/2025,286039,252978.9,Sales Invoice,Order Overdue
2887,Business Partner 36,26/03/2024,08/05/2024,276290,148524.24,Payment,Partially Paid
2888,Business Partner 22,16/07/2025,02/08/2025,435168,77594.83,Credit Note,Overdue
2889,Business Partner 14,23/05/2024,20/06/2024,367359,233731.94,Debit Note,Pending
2890,Business Partner 40,28/03/2025,06/04/2025,222313,160269.85,Debit Note,Paid
2891,Business Partner 48,17/02/2026,30/03/2026,242643,39947.44,Payment,Partially Paid
2892,Business Partner 02,03/02/2024,04/02/2024,409969,11201.09,Purchase Order,Paid
2893,Business Partner 06,26/11/2024,17/12/2024,398178,295526.93,Debit Note,Paid
2894,Business Partner 06,05/12/2025,29/12/2025,253067,241195.29,Purchase Order,Overdue
2895,Business Partner 35,25/10/2025,11/12/2025,31014,24422.46,Debit Note,Paid
2896,Business Partner 47,02/06/2024,17/07/2024,165020,62550.02,Purchase Order,Order Overdue
2897,Business Partner 42,23/10/2024,29/11/2024,137736,21937.83,Debit Note,Pending
2898,Business Partner 39,15/11/2025,27/01/2026,284122,135463.21,Credit Note,Order Overdue
2899,Business Partner 50,19/03/2024,07/04/2024,93130,76772.37,Payment,Order Overdue
2900,Business Partner 40,18/03/2026,23/03/2026,165686,62868.77,Purchase Order,Order Overdue
2901,Business Partner 28,23/04/2025,26/04/2025,24145,14467.97,Purchase Order,Partially Paid
2902,Business Partner 16,21/01/2025,06/03/2025,334797,114329.54,Payment,Order Overdue
2903,Business Partner 18,26/06/2025,15/07/2025,213432,80617.79,Purchase Order,Pending
2904,Business Partner 27,01/06/2024,05/07/2024,269269,61351.53,Payment,Partially Paid
2905,Business Partner 43,20/02/2024,06/04/2024,163595,134406.09,Debit Note,Overdue
2906,Business Partner 47,12/02/2024,22/04/2024,375492,14785.37,Credit Note,Paid
2907,Business Partner 27,31/07/2024,30/08/2024,216054,130086.66,Debit Note,Order Overdue
2908,Business Partner 30,24/09/2025,08/11/2025,413364,412843.58,Debit Note,Order Overdue
2909,Business Partner 12,08/05/2024,16/05/2024,32830,8792.22,Purchase Order,Paid
2910,Business Partner 26,15/09/2024,21/11/2024,66150,58887.06,Debit Note,Paid
2911,Business Partner 17,02/10/2025,04/11/2025,450286,289883.96,Debit Note,Overdue
2912,Business Partner 32,11/09/2024,16/11/2024,102636,38805.43,Sales Invoice,Order Overdue
2913,Business Partner 42,06/03/2024,26/04/2024,141404,34251.89,Purchase Order,Pending
2914,Business Partner 45,13/02/2025,03/05/2025,356416,105196.58,Sales Invoice,Order Overdue
2915,Business Partner 37,22/10/2025,15/01/2026,350689,256196.47,Credit Note,Partially Paid
2916,Business Partner 11,22/01/2024,22/02/2024,462083,193982.31,Sales Invoice,Partially Paid
2917,Business Partner 47,12/01/2026,20/03/2026,226909,48530.01,Payment,Partially Paid
2918,Business Partner 06,18/04/2025,23/04/2025,431984,168553.28,Credit Note,Pending
2919,Business Partner 23,07/02/2026,26/03/2026,398231,115730.66,Purchase Order,Pending
2920,Business Partner 26,18/03/2026,16/04/2026,379076,256160.95,Payment,Order Overdue
2921,Business Partner 44,10/07/2024,16/08/2024,101491,97352.04,Purchase Order,Paid
2922,Business Partner 31,21/01/2025,01/03/2025,216582,171553.25,Payment,Order Overdue
2923,Business Partner 37,14/04/2026,20/06/2026,265878,243617.22,Purchase Order,Pending
2924,Business Partner 47,21/04/2024,07/06/2024,127585,70948.78,Debit Note,Order Overdue
2925,Business Partner 12,30/04/2026,04/06/2026,174828,126836.78,Sales Invoice,Overdue
2926,Business Partner 40,01/05/2026,29/07/2026,33259,22405.85,Payment,Paid
2927,Business Partner 19,04/12/2025,23/02/2026,31158,30943.82,Payment,Pending
2928,Business Partner 14,09/08/2024,04/09/2024,402104,331308.59,Sales Invoice,Order Overdue
2929,Business Partner 17,24/08/2025,03/10/2025,464198,329059.78,Credit Note,Pending
2930,Business Partner 10,05/04/2026,18/04/2026,48216,4560.02,Debit Note,Overdue
2931,Business Partner 34,22/04/2025,07/05/2025,286410,13842.29,Sales Invoice,Pending
2932,Business Partner 38,03/04/2024,22/06/2024,356877,70658.13,Sales Invoice,Pending
2933,Business Partner 26,21/10/2025,01/12/2025,119341,4679.5,Credit Note,Paid
2934,Business Partner 47,19/03/2024,29/03/2024,482364,361793.47,Debit Note,Overdue
2935,Business Partner 49,01/12/2024,19/01/2025,50968,23532.59,Debit Note,Overdue
2936,Business Partner 50,19/07/2025,24/09/2025,468572,3927.55,Sales Invoice,Pending
2937,Business Partner 02,10/04/2026,13/04/2026,308280,32907.59,Credit Note,Paid
2938,Business Partner 36,10/05/2024,25/07/2024,275658,254797.99,Sales Invoice,Overdue
2939,Business Partner 22,28/04/2025,18/07/2025,369489,183765.97,Payment,Order Overdue
2940,Business Partner 08,12/01/2026,06/03/2026,481600,1480.49,Debit Note,Pending
2941,Business Partner 26,11/01/2025,30/03/2025,416279,143946.19,Purchase Order,Paid
2942,Business Partner 20,10/09/2025,19/09/2025,424893,52335.62,Debit Note,Order Overdue
2943,Business Partner 19,21/04/2024,29/06/2024,154219,34829.45,Credit Note,Order Overdue
2944,Business Partner 31,17/12/2024,20/12/2024,308524,42975.44,Credit Note,Pending
2945,Business Partner 11,14/04/2026,04/05/2026,494669,106643.51,Debit Note,Order Overdue
2946,Business Partner 10,16/03/2024,15/04/2024,237606,65346.32,Payment,Overdue
2947,Business Partner 05,04/04/2024,06/05/2024,490568,17897.33,Payment,Pending
2948,Business Partner 34,02/07/2025,23/08/2025,494180,369224.27,Payment,Paid
2949,Business Partner 50,22/03/2026,04/05/2026,125596,61840.4,Credit Note,Overdue
2950,Business Partner 28,20/03/2026,25/03/2026,273283,189572.68,Purchase Order,Pending
2951,Business Partner 28,10/03/2026,12/03/2026,493225,20793.64,Sales Invoice,Paid
2952,Business Partner 34,27/07/2024,11/09/2024,205781,81865.92,Debit Note,Paid
2953,Business Partner 49,28/01/2024,17/03/2024,81736,55981.65,Purchase Order,Partially Paid
2954,Business Partner 48,05/08/2024,17/08/2024,93016,71398.58,Payment,Partially Paid
2955,Business Partner 23,23/02/2024,18/04/2024,267902,147424.16,Credit Note,Order Overdue
2956,Business Partner 07,12/05/2025,31/07/2025,445298,216089.83,Debit Note,Pending
2957,Business Partner 40,03/08/2024,09/10/2024,436888,115243.65,Purchase Order,Paid
2958,Business Partner 16,07/11/2024,16/01/2025,3599,2856.93,Credit Note,Pending
2959,Business Partner 22,01/11/2024,01/12/2024,251026,216593.69,Debit Note,Order Overdue
2960,Business Partner 09,21/02/2025,26/02/2025,112128,26209.63,Payment,Order Overdue
2961,Business Partner 47,07/05/2024,13/05/2024,54726,36503.65,Credit Note,Paid
2962,Business Partner 39,21/04/2026,27/04/2026,267023,98329.3,Debit Note,Order Overdue
2963,Business Partner 46,07/03/2024,13/04/2024,150822,86585.02,Purchase Order,Overdue
2964,Business Partner 17,19/08/2025,09/09/2025,212212,160478.69,Debit Note,Order Overdue
2965,Business Partner 41,06/03/2025,24/05/2025,301267,243444.84,Payment,Order Overdue
2966,Business Partner 42,11/09/2025,26/11/2025,392128,286158.6,Credit Note,Paid
2967,Business Partner 34,29/10/2024,16/11/2024,281632,220667.33,Debit Note,Overdue
2968,Business Partner 41,05/08/2025,05/09/2025,78034,25778.83,Purchase Order,Partially Paid
2969,Business Partner 02,01/03/2026,04/05/2026,466220,144338.59,Debit Note,Pending
2970,Business Partner 12,13/07/2024,26/07/2024,97969,82214.25,Sales Invoice,Partially Paid
2971,Business Partner 50,24/05/2024,18/07/2024,212923,120070.5,Purchase Order,Overdue
2972,Business Partner 40,17/12/2025,19/12/2025,293504,138820.8,Credit Note,Paid
2973,Business Partner 30,21/02/2026,15/04/2026,468459,14297.52,Credit Note,Pending
2974,Business Partner 48,09/08/2024,17/09/2024,295471,278638.46,Sales Invoice,Order Overdue
2975,Business Partner 39,13/08/2024,23/09/2024,352349,233446.48,Payment,Pending
2976,Business Partner 34,21/05/2024,13/08/2024,471320,264482.77,Purchase Order,Partially Paid
2977,Business Partner 01,18/12/2024,08/02/2025,466191,309356.37,Sales Invoice,Order Overdue
2978,Business Partner 40,20/03/2025,02/05/2025,16697,9170.86,Sales Invoice,Overdue
2979,Business Partner 38,20/02/2026,06/04/2026,286475,193815.86,Credit Note,Partially Paid
2980,Business Partner 06,13/03/2026,22/05/2026,201505,115444.89,Payment,Overdue
2981,Business Partner 41,15/03/2024,11/04/2024,8829,4960.08,Credit Note,Paid
2982,Business Partner 44,30/04/2026,26/07/2026,463572,67550.58,Sales Invoice,Order Overdue
2983,Business Partner 21,08/08/2025,20/09/2025,485350,364217.21,Payment,Pending
2984,Business Partner 50,30/09/2024,20/11/2024,284885,42434.2,Debit Note,Partially Paid
2985,Business Partner 33,05/10/2024,24/12/2024,472331,19158.73,Purchase Order,Pending
2986,Business Partner 31,09/02/2026,09/03/2026,1512,9.85,Debit Note,Overdue
2987,Business Partner 39,04/02/2025,25/03/2025,33823,33770.35,Purchase Order,Overdue
2988,Business Partner 33,25/07/2024,03/08/2024,43579,29124.5,Debit Note,Partially Paid
2989,Business Partner 02,19/02/2024,27/02/2024,197708,104352.73,Debit Note,Partially Paid
2990,Business Partner 06,27/10/2024,15/01/2025,318998,23338.79,Payment,Paid
2991,Business Partner 30,21/02/2025,15/03/2025,453407,285436.59,Sales Invoice,Order Overdue
2992,Business Partner 29,19/10/2025,10/12/2025,329716,47363.08,Payment,Pending
2993,Business Partner 41,13/10/2024,16/11/2024,9817,8793.27,Credit Note,Overdue
2994,Business Partner 39,15/10/2024,04/12/2024,86098,5009.35,Credit Note,Pending
2995,Business Partner 47,16/02/2025,09/04/2025,353003,45900.55,Sales Invoice,Partially Paid
2996,Business Partner 02,22/07/2025,02/08/2025,392047,342040.76,Credit Note,Overdue
2997,Business Partner 04,13/06/2024,24/08/2024,367624,342803.93,Purchase Order,Partially Paid
2998,Business Partner 02,10/02/2025,18/04/2025,354701,189245.76,Purchase Order,Pending
2999,Business Partner 13,26/07/2024,22/09/2024,122694,10942.69,Sales Invoice,Partially Paid
3000,Business Partner 23,02/01/2026,23/01/2026,107230,36966.59,Credit Note,Paid
3001,Business Partner 30,11/07/2025,21/07/2025,244403,2600.79,Sales Invoice,Paid
3002,Business Partner 06,09/09/2025,29/09/2025,1243,472.13,Sales Invoice,Overdue
3003,Business Partner 16,24/04/2026,28/06/2026,352080,111875.51,Credit Note,Overdue
3004,Business Partner 35,10/08/2025,23/09/2025,198122,24025.11,Sales Invoice,Overdue
3005,Business Partner 05,14/11/2025,22/01/2026,156571,48082.68,Debit Note,Paid
3006,Business Partner 47,21/06/2024,03/09/2024,170356,8140.57,Credit Note,Partially Paid
3007,Business Partner 33,14/02/2024,26/02/2024,227051,62527.98,Purchase Order,Pending
3008,Business Partner 29,28/07/2024,23/10/2024,132138,109938.87,Credit Note,Overdue
3009,Business Partner 35,20/04/2024,08/05/2024,475503,220255.41,Credit Note,Order Overdue
3010,Business Partner 11,10/07/2024,19/07/2024,8347,6961.05,Purchase Order,Overdue
3011,Business Partner 38,03/07/2025,26/07/2025,54654,34337.23,Payment,Order Overdue
3012,Business Partner 27,24/06/2024,05/09/2024,287326,97730.36,Credit Note,Order Overdue
3013,Business Partner 29,27/08/2024,20/10/2024,455339,376261.97,Debit Note,Pending
3014,Business Partner 08,18/05/2026,22/07/2026,93912,51042.28,Payment,Overdue
3015,Business Partner 02,12/12/2024,10/01/2025,301115,225917.92,Purchase Order,Overdue
3016,Business Partner 45,25/08/2025,02/11/2025,378058,240690.68,Credit Note,Paid
3017,Business Partner 30,04/05/2025,01/08/2025,33028,13299.03,Credit Note,Pending
3018,Business Partner 26,14/06/2025,02/07/2025,451940,358119.07,Payment,Paid
3019,Business Partner 25,07/07/2025,25/07/2025,45225,29799.23,Sales Invoice,Pending
3020,Business Partner 15,06/10/2025,19/11/2025,172909,116520.44,Purchase Order,Overdue
3021,Business Partner 44,13/06/2026,05/09/2026,192910,2861.27,Payment,Order Overdue
3022,Business Partner 29,17/04/2024,13/07/2024,139888,56645.5,Sales Invoice,Paid
3023,Business Partner 34,28/10/2025,19/11/2025,39143,38426.76,Sales Invoice,Partially Paid
3024,Business Partner 37,11/02/2025,10/04/2025,396818,235777.81,Purchase Order,Order Overdue
3025,Business Partner 38,01/07/2025,26/09/2025,141780,33349.38,Debit Note,Order Overdue
